no,question,ground_truth_sql,execution_status,result_summary,brief_explanation
32,Total payments per customer,"SELECT c.""customerName"", SUM(p.""amount"") AS total_payments FROM payments p JOIN customers c ON p.""customerNumber"" = c.""customerNumber"" GROUP BY c.""customerName"" ORDER BY total_payments DESC;",success,"98 rows; sample: [{""customerName"": ""Euro+ Shopping Channel"", ""total_payments"": 715738.98}, {""customerName"": ""Mini Gifts Distributors Ltd."", ""total_payments"": 584188.24}, {""customerName"": ""Australian Collectors, Co."", ""total_payments"": 180585.07}]",Calculate total payment amount per customer
33,Number of orders per status,"SELECT ""status"", COUNT(""orderNumber"") AS order_count FROM orders GROUP BY ""status"" ORDER BY order_count DESC, ""status"";",success,"6 rows; sample: [{""status"": ""Shipped"", ""order_count"": 303}, {""status"": ""Cancelled"", ""order_count"": 6}, {""status"": ""In Process"", ""order_count"": 6}]",Count orders grouped by status
34,Products per product line,"SELECT ""productLine"", COUNT(""productCode"") AS product_count FROM products GROUP BY ""productLine"" ORDER BY product_count DESC, ""productLine"";",success,"7 rows; sample: [{""productLine"": ""Classic Cars"", ""product_count"": 38}, {""productLine"": ""Vintage Cars"", ""product_count"": 24}, {""productLine"": ""Motorcycles"", ""product_count"": 13}]",Count products grouped by product line
35,Employees per office,"SELECT o.""officeCode"", o.""city"", COUNT(e.""employeeNumber"") AS employee_count FROM offices o LEFT JOIN employees e ON o.""officeCode"" = e.""officeCode"" GROUP BY o.""officeCode"", o.""city"" ORDER BY employee_count DESC, o.""officeCode"";",success,"7 rows; sample: [{""officeCode"": ""1"", ""city"": ""San Francisco"", ""employee_count"": 6}, {""officeCode"": ""4"", ""city"": ""Paris"", ""employee_count"": 5}, {""officeCode"": ""6"", ""city"": ""Sydney"", ""employee_count"": 4}]",Count employees grouped by office
36,Total stock per product vendor,"SELECT ""productVendor"", SUM(""quantityInStock"") AS total_stock FROM products GROUP BY ""productVendor"" ORDER BY total_stock DESC, ""productVendor"";",success,"13 rows; sample: [{""productVendor"": ""Gearbox Collectibles"", ""total_stock"": 60495}, {""productVendor"": ""Min Lin Diecast"", ""total_stock"": 50089}, {""productVendor"": ""Classic Metal Creations"", ""total_stock"": 45408}]",Calculate total stock grouped by product vendor
37,Average buy price per product line,"SELECT ""productLine"", ROUND(AVG(""buyPrice""), 2) AS average_buy_price FROM products GROUP BY ""productLine"" ORDER BY ""productLine"";",success,"7 rows; sample: [{""productLine"": ""Classic Cars"", ""average_buy_price"": 64.45}, {""productLine"": ""Motorcycles"", ""average_buy_price"": 50.69}, {""productLine"": ""Planes"", ""average_buy_price"": 49.63}]",Calculate average buy price grouped by product line
38,Orders per customer,"SELECT c.""customerName"", COUNT(o.""orderNumber"") AS order_count FROM customers c LEFT JOIN orders o ON c.""customerNumber"" = o.""customerNumber"" GROUP BY c.""customerName"" ORDER BY order_count DESC, c.""customerName"";",success,"122 rows; sample: [{""customerName"": ""Euro+ Shopping Channel"", ""order_count"": 26}, {""customerName"": ""Mini Gifts Distributors Ltd."", ""order_count"": 17}, {""customerName"": ""Australian Collectors, Co."", ""order_count"": 5}]",Count orders grouped by customer
39,Max MSRP per product line,"SELECT ""productLine"", MAX(""MSRP"") AS max_msrp FROM products GROUP BY ""productLine"" ORDER BY max_msrp DESC, ""productLine"";",success,"7 rows; sample: [{""productLine"": ""Classic Cars"", ""max_msrp"": 214.3}, {""productLine"": ""Motorcycles"", ""max_msrp"": 193.66}, {""productLine"": ""Vintage Cars"", ""max_msrp"": 170}]",Find maximum MSRP grouped by product line
40,Min buy price per vendor,"SELECT ""productVendor"", MIN(""buyPrice"") AS min_buy_price FROM products GROUP BY ""productVendor"" ORDER BY min_buy_price ASC, ""productVendor"";",success,"13 rows; sample: [{""productVendor"": ""Carousel DieCast Legends"", ""min_buy_price"": 15.91}, {""productVendor"": ""Second Gear Diecast"", ""min_buy_price"": 16.24}, {""productVendor"": ""Classic Metal Creations"", ""min_buy_price"": 20.61}]",Find minimum buy price grouped by vendor
41,Total number of customers,"SELECT COUNT(""customerNumber"") AS total_customers FROM customers;",success,122,Count all customers
42,Total number of products,"SELECT COUNT(""productCode"") AS total_products FROM products;",success,110,Count all products
43,Total revenue from payments,"SELECT SUM(""amount"") AS total_revenue FROM payments;",success,8853839.23,Calculate total revenue from all payments
44,Average product price,"SELECT ROUND(AVG(""buyPrice""), 2) AS average_product_buy_price FROM products;",success,54.4,Calculate average product buy price
45,Max payment amount,"SELECT MAX(""amount"") AS max_payment_amount FROM payments;",success,120166.58,Find maximum payment amount
46,Min payment amount,"SELECT MIN(""amount"") AS min_payment_amount FROM payments;",success,615.45,Find minimum payment amount
47,Count total orders,"SELECT COUNT(""orderNumber"") AS total_orders FROM orders;",success,326,Count all orders
48,Total quantity in stock,"SELECT SUM(""quantityInStock"") AS total_quantity_in_stock FROM products;",success,555131,Calculate total quantity available in stock
49,Average MSRP,"SELECT ROUND(AVG(""MSRP""), 2) AS average_msrp FROM products;",success,100.44,Calculate average MSRP
50,Number of employees,"SELECT COUNT(""employeeNumber"") AS number_of_employees FROM employees;",success,23,Count all employees
